pk,id,name,parent_id
616,3011,"Крылья, подкрылки, накладки крыльев для грузовых автомобилей",3025
617,3023,Кузова грузовых автомобилей,3025
618,3026,"Кузова, кабины, рамы, общее",3025
619,3548,Механизмы подъема кабины,3025
620,4914,"Подножки, накладки на подножки к грузовым автомобилям",3025
621,7013,Угловые панели кабин,3025
622,7015,Углы бампера для грузовых автомобилей,3025
623,106,Автомобильные двери,3028
624,107,Автомобильные дверные ручки,3028
625,111,Автомобильные замки и ключи,3028
626,119,Автомобильные крыши,3028
627,120,Автомобильные люки,3028
628,131,Автомобильные подкрылки,3028
629,137,Автомобильные решетки на бамперы и радиаторы,3028
630,151,Автомобильные эмблемы,3028
631,309,"Амортизаторы капота, багажника",3028
632,544,Бамперы,3028
633,687,Боковины кузова,3028
634,735,Брызговики,3028
635,1814,Задние панели кузова,3028
636,1938,Защита картера и КПП,3028
637,2280,Капоты,3028
638,2993,Кронштейны автомобильные,3028
639,3010,"Крылья, арки автомобильные",3028
640,3013,Крышки багажника,3028
641,3024,Кузова легковых автомобилей,3028
642,3029,"Кузовные запчасти, общее",3028
643,3249,"Лонжероны, подрамники",3028
644,3274,"Лючки, крышки бензобака",3028
645,3970,Ноускаты,3028
646,4651,Передние панели кузова,3028
647,4690,"Петли, ограничители автомобильные",3028
648,4732,"Пистоны, заглушки, крепежные элементы",3028
649,6306,Стеклоподъемники,3028
650,7102,"Усилители бампера, буфер бампера",3028
651,7328,Фаркопы,3028
652,1287,Гидроусилитель руля и комплектующие,4422
653,3826,Наконечники рулевых тяг,4422
654,4423,"Органы управления, общее",4422
655,4619,Педали автомобильные,4422
656,5712,Рулевой механизм,4422
657,5714,Рулевые тяги,4422
658,6935,Тросики автомобильные,4422
659,127,Автомобильные передние  фары,5860
660,668,Блоки розжига,5860
661,1679,"Дополнительные, противотуманные фары",5860
662,1815,"Задние фонари, фонари видимости",5860
663,2722,Комплекты ксенона,5860
664,3145,Лампочки для световых приборов автомобиля,5860
665,4491,"Отражатели, корпуса фар и фонарей",5860
666,4782,Плафоны внутреннего освещения,5860
667,4870,Повторители поворотов,5860
668,5861,"Световые приборы транспорта, общее",5860
669,6298,Стекла фар и фонарей,5860
670,1148,Выпускные коллекторы,5963
671,1158,"Выхлопная система, общее",5963
672,1159,Выхлопные системы в сборе,5963
673,1308,Глушители,5963
674,1341,Гофры для выхлопных систем,5963
675,2340,Катализаторы для транспорта,5963
676,2701,Комплектующие системы выпуска отработавших газов,5963
677,2961,Крепежи элементов выхлопной системы,5963
678,3859,Насадки и наконечники на глушитель,5963
679,4750,Пламегасители,5963
680,5147,Приемные трубы глушителя,5963
681,5512,Резонаторы,5963
682,102,Автомобильные водяные насосы,5966
